Data Source,Type,Full Object Name,Object Name,Owner,Modified Date,Attributes,Entity Sources,Residencies,PII Count,Open Access,Number of Entities
SAS Workspaces (DataScience),file,Workspaces/Shared\Risk and Pricing Strategy\Michael Bargar/DefermentAgreementSignatureTypos.csv,DefermentAgreementSignatureTypos.csv,S-1-5-21-498304819-3224205621-3506385323-29499,2020-09-18 18:42:19.598,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_01282020.csv,fraudcheck_01282020.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.046,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Risk and Pricing Strategy\Ayush Manocha/pf_by_qtr.csv,pf_by_qtr.csv,S-1-5-21-498304819-3224205621-3506385323-6682,2020-09-18 18:41:54.788,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check_17JUN19.csv,check_17JUN19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.040,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Loss Forecasting\Long term projections/principal_byterm.csv,principal_byterm.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-29 18:02:44.497,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check_10SEP19.csv,check_10SEP19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.039,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check09DEC19.csv,check09DEC19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.038,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/check01OCT19.csv,check01OCT19.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.037,[classifier.Oportun SSN],,,1,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_03102019.csv,fraudcheck_03102019.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.052,[classifier.Oportun SSN],,,9,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_03252020_concat.csv,fraudcheck_03252020_concat.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.055,[classifier.Oportun SSN],,,15,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Data_Science\PiyushSharma\PS_model\rap_data\05\teletrack\aggregation/2019_05_teletrack_Fraud_Comply360CM1.csv,2019_05_teletrack_Fraud_Comply360CM1.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:54:27.081,[classifier.Oportun SSN],,,46,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_02242019.csv,fraudcheck_02242019.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.051,[classifier.Oportun SSN],,,9,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_01272018.csv,fraudcheck_01272018.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.045,[classifier.Oportun SSN],,,9,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Data_Science\PiyushSharma\v10_input_varqc\rapfiles2/2019_09_teletrack_PreviousInquiries.csv,2019_09_teletrack_PreviousInquiries.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:54:27.647,[classifier.Oportun SSN],,,422,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\DM\Post_Processing\Logs/3_Log_16DEC2019165552.txt,3_Log_16DEC2019165552.txt,S-1-5-21-498304819-3224205621-3506385323-20831,2020-09-28 20:22:06.286,[classifier.Oportun SSN],,,2,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Data_Science\PiyushSharma\PS_model\FT_marketing_data/ft_noid_201712.csv,ft_noid_201712.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:54:26.730,[classifier.Oportun SSN],,,9,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Fraud\MichaelDong/fraudcheck_03022019.csv,fraudcheck_03022019.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:49:41.052,[classifier.Oportun SSN],,,9,No,
SAS Workspaces (DataScience),file,Workspaces/Shared\Data_Science\PiyushSharma\PS_model\TT_Rap_data\6/2018_06_teletrack_ChargeOffs.csv,2018_06_teletrack_ChargeOffs.csv,S-1-5-21-498304819-3224205621-3506385323-12592,2020-09-18 18:54:27.285,[classifier.Oportun SSN],,,1,No,
